id,current_rating,potential_rating,height,weight,preferred_foot,skill_moves,value,wage,ball_control,strength,long_shots_level
258772,58,68,182,71,Right,2,375,1.3,52,60,Fair
206522,67,67,184,73,Left,2,775,2.8,59,71,Fair
241103,73,84,187,78,Right,2,5.500.000,7.9,69,74,Fair
199384,67,67,180,68,Right,2,675,3.5,63,56,Good
238923,67,70,178,74,Right,3,1.200.000,2.7,62,66,Good
258322,59,73,190,86,Right,2,500,2,51,75,Good
251800,66,74,180,74,Right,2,1.700.000,4.1,70,70,Good
255843,55,72,175,72,Right,2,275,1.3,52,69,Fair
248772,57,74,175,62,Left,2,375,1.3,61,36,Good
235242,65,75,186,79,Right,2,1.400.000,2,67,67,Good
229261,83,87,190,80,Right,3,42.500.000,40,80,87,Good
254751,57,72,186,84,Right,2,325,1.6,47,72,Fair
202131,66,68,177,72,Right,3,850,6.7,68,67,Good
221651,66,66,177,69,Left,3,775,1.5,66,65,Good
240342,67,68,186,85,Right,3,1.100.000,7.6,74,74,Good
220943,65,66,183,78,Right,2,750,10.5,65,80,Good
242685,66,73,180,68,Left,3,1.500.000,3.9,68,57,Good
259163,57,72,186,78,Right,2,325,1.3,47,58,Fair
256296,60,67,187,81,Left,2,400,1.5,53,74,Fair
229631,72,78,178,71,Left,3,3.300.000,5.8,77,56,Excellent
221201,76,77,174,72,Left,3,7.000.000,12.5,74,65,Good
224003,76,78,192,82,Right,1,6.500.000,19.5,27,67,Fair
245510,61,70,178,70,Right,2,625,4.2,55,60,Fair
230410,70,70,170,70,Right,2,1.400.000,8.9,73,49,Good
207763,68,69,173,77,Left,3,1.200.000,4.7,68,74,Excellent
215477,66,66,191,83,Right,2,500,2.2,64,87,Fair
223816,78,79,177,79,Right,4,15.500.000,60,81,76,Excellent
220739,71,73,170,66,Right,3,2.100.000,9.9,73,40,Good
255639,54,63,178,63,Right,2,210,1.3,55,48,Good
194365,72,72,174,70,Right,3,1.000.000,16,73,64,Good
252406,57,72,192,76,Right,1,300,1.3,16,61,Fair
246015,66,69,184,79,Left,2,,,48,73,Good
244028,58,68,193,89,Right,2,375,1.3,43,82,Fair
242955,60,67,181,73,Right,2,,,60,69,Good
243647,73,80,198,73,Right,1,4.900.000,24.5,14,64,Fair
244182,68,80,173,68,Left,3,2.700.000,4.2,75,32,Good
168542,86,86,173,67,Left,4,29.000.000,55,91,46,Excellent
236747,69,69,170,66,Right,4,1.300.000,8.2,70,64,Good
228759,68,75,183,71,Left,2,2.100.000,2.2,62,73,Good
257254,61,76,177,75,Right,2,700,3.1,63,54,Good
255793,53,63,167,65,Left,2,190,1.9,54,39,Good
254881,69,69,170,64,Right,3,1.300.000,5.3,67,52,Good
233545,69,70,181,70,Left,3,,,65,66,Good
212218,87,90,189,85,Left,2,83.000.000,180,78,85,Good
220693,66,69,181,81,Right,2,900,2.5,64,72,Good
223115,63,63,188,83,Right,2,450,2.4,60,78,Good
254028,70,72,182,80,Right,2,1.400.000,8.2,62,75,Good
202648,77,79,180,71,Right,4,11.500.000,9.4,79,67,Excellent
237506,61,71,185,80,Right,3,650,1.5,64,65,Good
201967,70,70,182,65,Right,4,1.500.000,14.5,70,48,Good
189557,72,72,188,83,Right,3,1.500.000,8,71,77,Good
232704,63,71,184,76,Right,2,900,1.7,49,76,Fair
233816,58,63,195,78,Right,2,250,1.3,58,66,Fair
258908,67,79,189,80,Right,2,2.100.000,9.9,64,72,Good
244881,63,76,180,75,Left,2,1.100.000,2.3,63,58,Good
208615,75,78,196,88,Right,2,6.000.000,38,68,84,Fair
237156,72,80,177,70,Right,3,4.500.000,7.3,70,61,Fair
256445,60,74,185,75,Right,1,475,1.3,25,47,Fair
229148,73,73,181,70,Left,3,3.000.000,55,74,63,Good
251380,64,74,184,78,Left,2,1.100.000,5.4,62,76,Fair
195124,65,65,178,77,Right,3,625,3.4,62,71,Good
230369,72,72,177,76,Right,2,2.100.000,11.5,75,75,Excellent
238759,71,79,187,77,Right,2,3.600.000,3.2,69,77,Good
227855,62,71,186,77,Right,3,800,1.3,64,69,Good
225868,66,70,186,81,Left,1,825,5.3,30,66,Fair
211434,64,66,187,80,Right,2,550,2.2,51,84,Fair
226747,71,72,187,83,Right,3,1.600.000,9.4,58,89,Good
235184,59,64,184,84,Right,2,300,1.3,62,64,Good
190633,73,73,192,81,Right,3,2.300.000,28,67,72,Good
247741,61,72,181,72,Left,2,600,4.8,58,58,Good
184220,70,70,184,73,Right,3,1.400.000,49,71,74,Good
245286,60,75,175,61,Right,2,525,3.3,63,43,Fair
251695,73,73,186,81,Left,2,,,68,78,Good
230386,69,69,191,87,Left,2,1.300.000,5.2,55,88,Good
237443,65,65,190,92,Right,1,425,1.3,23,68,Fair
201988,77,77,190,83,Right,2,6.500.000,32,65,78,Fair
232211,60,60,192,82,Right,2,200,1.3,55,82,Good
198653,73,73,186,80,Right,1,70,6,17,43,Fair
169216,74,74,178,70,Right,3,2.400.000,41,71,64,Good
205498,83,83,180,68,Right,3,33.000.000,110,85,66,Good
233050,66,78,177,68,Right,3,1.900.000,2.5,70,69,Good
234795,71,80,177,74,Left,3,3.800.000,11,74,66,Good
235887,64,72,174,72,Left,3,1.200.000,1.3,64,57,Good
255286,60,65,185,79,Left,2,300,2,50,63,Fair
179646,65,65,180,81,Left,2,450,3.1,65,77,Good
220386,70,77,180,70,Right,3,2.700.000,4,68,58,Good
199412,72,72,182,73,Left,3,2.200.000,22,72,78,Excellent
240987,61,74,186,75,Right,1,625,1.3,16,46,Fair
227443,67,67,183,69,Right,3,550,3.7,68,67,Good
185431,77,77,187,79,Right,3,7.500.000,27,76,73,Good
241695,65,75,175,71,Right,3,1.400.000,2.7,65,59,Good
244497,68,80,171,66,Left,3,2.500.000,4,66,40,Good
19541,65,65,183,70,Right,1,20,1.3,30,63,Fair
256853,61,81,181,75,Right,2,800,1.3,62,59,Good
204773,64,64,187,81,Right,1,350,1.3,22,71,Fair
233400,68,73,188,84,Right,2,1.400.000,2.9,62,82,Good
205861,53,57,183,74,Right,1,90,1.3,23,55,Fair
199042,83,83,171,70,Right,3,23.000.000,70,83,64,Excellent
211988,65,65,183,79,Right,3,675,2.1,65,66,Good
215162,75,75,192,86,Right,2,2.400.000,16,62,85,Good
243702,63,79,184,71,Right,3,1.100.000,1.6,56,57,Fair
204289,71,72,180,82,Right,3,2.000.000,9.4,77,67,Excellent
241050,68,69,195,90,Right,1,825,4.1,19,68,Fair
246795,57,65,170,65,Right,2,325,4,55,55,Fair
233695,55,65,195,84,Right,1,220,1.3,11,33,Fair
252386,59,76,178,71,Right,2,525,2.1,59,65,Good
176376,78,78,180,76,Right,5,5.500.000,17.5,83,74,Excellent
228173,71,71,183,74,Right,4,1.600.000,8.9,71,74,Excellent
257184,60,70,175,74,Right,2,475,2.2,58,63,Good
231352,78,85,196,87,Right,3,26.000.000,65,76,79,Good
212432,75,77,189,75,Right,1,4.300.000,6.7,18,33,Fair
244252,65,74,182,78,Right,2,1.300.000,1.3,56,73,Fair
239762,66,72,184,80,Left,2,1.200.000,2.2,66,74,Fair
258271,63,72,177,67,Left,3,1.000.000,3.1,65,48,Good
179579,64,64,171,72,Left,3,250,1.3,64,74,Good
258621,52,71,170,68,Right,3,190,1.3,54,44,Good
209784,64,65,178,71,Right,2,550,1.5,62,65,Fair
244602,65,75,166,55,Right,3,1.400.000,2.8,71,31,Good
187363,63,64,182,83,Right,1,325,2.1,20,63,Fair
241953,58,72,173,65,Right,2,450,3.5,62,56,Good
238489,66,70,186,81,Right,1,800,1.9,21,69,Fair
228870,64,70,193,74,Right,2,775,1.3,55,74,Fair
254252,70,75,175,72,Right,2,,,69,64,Good
234853,65,65,180,80,Right,3,600,2.6,69,69,Good
253597,62,62,178,78,Right,2,220,2.5,57,82,Fair
257887,60,69,175,72,Right,2,500,1.3,58,46,Good
237286,70,77,173,77,Right,2,2.900.000,20.5,71,61,Good
242386,60,74,191,81,Right,2,500,2.4,43,78,Fair
222987,70,70,173,72,Right,3,1.400.000,5.6,72,66,Good
224150,66,67,183,73,Right,3,900,2.5,68,73,Good
251400,63,69,187,78,Left,2,625,2.6,58,76,Fair
259030,51,69,171,65,Right,2,130,1.3,51,50,Good
230406,78,78,173,72,Right,3,14.500.000,15.5,77,72,Good
208480,68,71,180,72,Right,2,1.400.000,4.9,70,72,Good
240704,61,71,184,81,Right,1,575,1.3,37,62,Fair
228935,63,66,191,88,Right,1,425,2.3,19,79,Fair
234916,70,75,167,66,Left,3,2.200.000,9.4,70,50,Good
254317,50,64,178,69,Right,2,100,1.6,32,46,Fair
169596,69,69,191,76,Right,2,800,11,52,82,Fair
256280,52,64,180,78,Right,2,170,1.7,48,60,Good
251545,64,79,180,75,Right,4,1.300.000,2.8,68,47,Good
243981,62,72,190,81,Left,2,750,2,33,78,Fair
198429,72,72,181,82,Right,3,2.100.000,12.5,72,79,Good
238466,56,70,186,76,Right,2,300,3.8,41,63,Fair
245156,68,75,185,78,Right,2,2.000.000,3.2,63,69,Fair
247491,54,68,185,78,Right,2,220,1.3,48,58,Fair
221647,66,67,175,67,Right,2,800,2.2,58,66,Good
226182,61,61,188,88,Right,1,7,1.3,17,65,Fair
197226,64,64,184,82,Left,3,525,1.7,67,66,Good
229277,69,75,184,81,Left,2,1.900.000,7.9,63,73,Good
254747,64,64,183,81,Right,2,250,3.9,62,69,Good
255855,64,69,170,65,Right,2,750,1.3,61,55,Good
237269,53,58,192,79,Right,1,100,1.3,18,60,Fair
257868,60,73,180,73,Right,2,525,2.9,60,60,Good
252739,66,66,178,74,Left,2,700,3.9,61,54,Fair
251816,58,72,170,64,Right,2,425,1.3,61,52,Good
224916,62,62,175,73,Right,2,350,3.1,59,53,Good
239627,66,69,183,82,Left,2,1.000.000,3.9,64,77,Good
258334,68,71,172,73,Right,2,1.400.000,6.1,69,64,Good
199392,72,72,174,78,Right,3,1.500.000,17,71,74,Good
182474,62,62,190,81,Right,1,180,1.6,22,26,Fair
243128,54,69,187,84,Right,1,200,1.3,12,59,Fair
241115,72,76,178,81,Left,3,3.100.000,9.9,75,76,Excellent
234015,72,72,170,67,Right,4,2.400.000,8.1,75,49,Good
236028,65,75,182,75,Right,1,1.300.000,3.4,24,47,Fair
206534,72,73,185,71,Left,3,2.500.000,60,74,72,Good
257491,60,76,175,69,Right,3,550,1.3,69,46,Good
245855,65,73,177,70,Left,3,1.400.000,1.9,67,67,Good
258764,63,75,174,69,Right,3,1.100.000,1.3,60,47,Good
199238,70,70,185,78,Right,2,1.000.000,4.4,56,87,Good
212127,76,76,181,66,Right,3,6.500.000,24.5,78,39,Excellent
227793,54,55,175,73,Right,2,120,4,59,61,Good
203736,74,74,185,88,Right,3,3.900.000,20.5,71,80,Good
255156,55,67,175,75,Right,2,275,1.3,52,63,Good
177971,61,61,183,77,Left,2,80,1.3,63,71,Good
253981,53,68,187,80,Right,2,200,1.3,50,74,Fair
240587,63,66,174,63,Right,3,550,6.3,66,31,Good
152916,76,76,174,72,Left,4,2.200.000,14.5,80,66,Excellent
199812,66,67,189,80,Right,1,600,3.2,26,58,Fair
232342,67,67,179,73,Left,3,875,5.2,76,66,Excellent
252943,63,76,173,68,Right,3,1.000.000,1.3,64,56,Good
235487,58,65,174,65,Right,2,350,2.2,47,66,Fair
253651,69,69,178,74,Left,2,1.100.000,6.9,55,35,Fair
190330,67,67,187,84,Right,3,900,5.4,68,73,Good
256453,62,78,188,83,Right,3,900,1.3,65,73,Good
237140,61,64,184,77,Right,3,400,1.3,65,65,Good
230685,74,74,180,73,Left,3,4.000.000,44,75,61,Excellent
169345,73,73,179,73,Left,3,1.400.000,13.5,72,66,Good
245785,69,73,184,80,Right,2,1.600.000,4.4,65,82,Fair
242040,62,71,183,74,Right,3,800,1.3,66,62,Good
223553,69,69,169,68,Right,3,525,6,70,64,Good
247612,51,71,178,61,Left,2,140,1.3,53,35,Good
198350,70,74,188,72,Right,1,1.500.000,15.5,30,68,Fair
233800,71,78,180,75,Left,3,3.200.000,2.3,62,67,Good
232712,63,72,171,68,Right,3,1.000.000,1.6,61,79,Good
237510,70,71,178,80,Right,2,1.300.000,8.2,60,81,Fair
201971,73,73,173,70,Left,3,1.300.000,9.9,75,66,Good
185132,77,77,187,79,Right,2,7.500.000,18,76,87,Excellent
241396,59,71,185,73,Right,2,500,4.3,58,68,Good
254897,63,68,188,80,Right,2,575,1.5,51,84,Fair
255785,52,60,176,75,Right,2,160,1.9,60,70,Good
219911,74,74,188,88,Right,2,3.100.000,12.5,34,84,Fair
252040,64,76,180,66,Right,4,1.300.000,1.3,69,56,Good
204620,59,59,186,80,Right,2,210,1.6,61,72,Good
257242,66,71,174,71,Left,2,1.100.000,3.6,61,59,Good
231094,69,69,178,66,Right,5,1.300.000,7.9,70,61,Good
236751,66,66,192,88,Right,2,675,1.3,59,83,Good
243651,60,71,183,65,Right,3,500,1.3,61,59,Good
222342,67,67,196,92,Right,1,600,3.1,16,78,Fair
165736,64,64,196,87,Right,2,250,2.7,47,90,Fair
256900,62,75,187,75,Right,2,850,2.8,64,74,Good
188350,85,85,180,71,Right,4,40.000.000,85,87,66,Excellent
236301,70,76,188,88,Right,1,1.800.000,7,10,55,Fair
257612,63,84,184,79,Right,2,1.300.000,1.3,61,63,Good
181872,83,83,180,75,Right,3,20.000.000,110,82,83,Excellent
243201,64,75,187,80,Right,1,1.000.000,1.3,31,41,Fair
180760,58,58,181,75,Right,1,4,1.3,15,31,Fair
257307,62,73,170,62,Right,3,775,1.6,65,52,Good
243714,63,76,190,76,Right,2,1.000.000,3,62,71,Fair
258508,52,71,178,68,Right,3,180,1.3,54,39,Good
141286,71,71,189,88,Right,2,475,6.5,70,88,Excellent
218746,71,78,170,65,Right,3,3.300.000,4.4,76,59,Excellent
